attendance_binary,previous_attendance,previous_away_team_errors,previous_away_team_hits,previous_away_team_runs,game_type,previous_game_type,previous_home_team_errors,previous_home_team_hits,previous_home_team_runs,game_day,previous_game_day,temperature,wind_speed,sky,previous_game_duration,previous_homewin
1,33369,0,13,3,Night Game,Night Game,0,6,2,Friday,Thursday,74,1,Sunny,3.783333333,0
0,24124,2,9,3,Night Game,Day Game,0,14,12,Friday,Wednesday,72,12,Cloudy,3.033333333,1
0,35483,0,3,1,Night Game,Night Game,1,14,10,Friday,Wednesday,84,6,Cloudy,2.683333333,1
1,37842,1,11,4,Night Game,Day Game,0,7,3,Tuesday,Wednesday,75,17,Cloudy,2.916666667,0
1,45501,2,5,0,Night Game,Night Game,0,9,7,Friday,Wednesday,82,13,Unknown,3.016666667,1
1,20720,0,15,12,Night Game,Day Game,0,14,9,Friday,Thursday,80,8,Unknown,4.05,0
1,41795,2,3,1,Night Game,Day Game,0,10,3,Friday,Sunday,59,11,Sunny,3.2,1
0,30229,0,8,3,Night Game,Day Game,0,4,2,Friday,Thursday,88,9,Unknown,3.5,0
0,16610,0,11,9,Night Game,Day Game,1,10,6,Friday,Thursday,67,10,Sunny,3.166666667,0
0,39271,0,12,9,Night Game,Day Game,1,5,0,Friday,Thursday,90,10,Cloudy,2.866666667,0
1,39720,0,8,2,Night Game,Day Game,3,5,3,Friday,Sunday,77,6,Unknown,2.916666667,1
0,25960,0,19,15,Night Game,Day Game,2,13,7,Friday,Thursday,70,6,Unknown,3.033333333,0
0,30167,1,9,3,Night Game,Day Game,0,14,11,Friday,Thursday,81,0,In Dome,3.316666667,1
